Local time,Open,High,Low,Close,Volume
19.11.2020 06:00:00.000 GMT+0800,1.18546,1.18827,1.18164,1.18763,459689.8112
20.11.2020 06:00:00.000 GMT+0800,1.18762,1.18910,1.18500,1.18603,359489.96259999997
23.11.2020 06:00:00.000 GMT+0800,1.18564,1.19062,1.18001,1.18416,348759.82710000005
24.11.2020 06:00:00.000 GMT+0800,1.18415,1.18963,1.18374,1.18930,326354.4061000001
25.11.2020 06:00:00.000 GMT+0800,1.18939,1.19299,1.18820,1.19177,335234.23299999995
26.11.2020 06:00:00.000 GMT+0800,1.19177,1.19411,1.18855,1.19144,219063.98819999993
27.11.2020 06:00:00.000 GMT+0800,1.19148,1.19650,1.19075,1.19650,254103.6093
30.11.2020 06:00:00.000 GMT+0800,1.19627,1.20034,1.19238,1.19284,394990.1194999999
01.12.2020 06:00:00.000 GMT+0800,1.19290,1.20768,1.19268,1.20716,535255.2745
02.12.2020 06:00:00.000 GMT+0800,1.20715,1.21187,1.20401,1.21167,495075.4582000001
